회사명,등급,005000/종업원수,011100/  현금및현금등가물,012000/유동자산(계),013000/투자자산(계),013200/유형자산(계),013400/무형자산,014000/비유동자산,015000/총자산(지급보증제외),016000/유동부채(계),017000/비유동부채(계),018000/부채총계,018100/자본금,018102/[1주의 금액],018110/보통주자본금,018111/ [보통주발행주식수],018200/ 자본잉여금,018300/ 이익잉여금,018900/자기자본,019000/부채와자본총계,021000/영업수익,023000/매출총이익,024000/판매비와관리비,025000/영업이익,025100/영업외수익,026000/영업외비용,028000/법인세차감전순이익(손실),028100/법인세비용(법인세등),029000/당기순이익,029009/기본주당순이익,035000/(합계)처분가능이익잉여금,036300/배당금,036400/배당률,036310/현금배당금,061000/영업활동으로인한현금흐름,061100/ 당기순이익(손실),062000/투자활동으로인한현금흐름,062500/ 투자활동으로인한현금유출액,063000/재무활동으로인한현금흐름,064000/현금예금의증가,065000/기초현금과예금,066000/기말현금과예금,091010/총자산증가율,091050/자기자본증가율,091060/영업수익증가율,091065/영업이익증가율,091070/법인세비용차감전순이익증가율,091080/순이익증가율,091090/종업원수증가율,092010/총자본세전이익율,092060/자기자본법인세비용차감전순이익율,092070/자기자본순이익율,092080/자본금법인세비용차감전순이익율,092090/자본금순이익율,092100/매출액법인세비용차감전순이익율,092110/매출액순이익율,092120/매출액영업이익율,093010/자기자본비율,093060/부채비율,094010/총자본회전율,093190/유보액대납입자본비율,095020/종업원1인당영업수익
세아홀딩스,A2,263.2,2435693400,6255624000,1.02311E+12,924544800,4407330400,1.02915E+12,6.25524E+11,82101661000,45382423200,1.27484E+11,25920000000,500,20000000000,4000000,1.66578E+11,7.06181E+11,9.07919E+11,1.0354E+12,49097094800,36359352400,16931005200,32166089200,1887775000,3137548800,30916315800,-4964954200,35881269600,8972,43937838800,9197942000,46,9197942000,36436376600,35881269600,-18308154800,22587593200,-16030302000,2097919800,337773000,2435693400,2.332,3.29,14.076,8.008,4.396,2.314,6.778,3.02,-1.802,4.024,154.582,95.218,63.47,74.812,65.734,87.682,14.058,0.046,4439.914,910558454
신세계건설,A2,7842.6,27569015000,3.61477E+11,37825313200,2.95082E+11,4723114200,3.64192E+11,3.97828E+12,4.90849E+11,53560918000,5.4441E+11,27475560000,500,20000000000,4000000,562787000,1.07455E+11,1.81259E+11,7.25669E+11,1.07633E+12,4.53316E+11,57834638600,23000085800,12494629400,4740052000,30754662800,-6700963800,37455626000,9363.8,51606642600,3000000000,15,3000000000,13271727200,37455626000,-10565045400,29092732800,9932662400,12639344600,14929670400,27569015000,3.898,23.43,-9.28,-27.934,-20.902,19.77,5.782,4.314,18.26,22.622,153.774,511.446,2.858,3.474,2.14,24.916,302.16,1.51,806.298,1451468690
신세계푸드,A2,1671.2,20861351600,2.09801E+11,35702317600,2.80273E+11,45932096000,3.95961E+11,2.89846E+11,2.11876E+11,75738796600,2.87615E+11,20012338000,5000,19362400000,3872480,70210623000,2.30505E+11,3.18147E+11,6.05762E+11,1.23248E+12,99415746000,1.29225E+11,29140737000,3778774600,15544849000,17374661600,4571194600,12803467400,3306.8,10552056600,2904218000,15,2904218000,50944512800,12803467400,-67349732400,76951089400,7542119200,-8863100000,29751350000,20861351600,6.224,2.614,9.58,9.25,-20.44,-25.536,9.702,2.994,5.406,4.112,89.734,32.682,1.43,1.06,2.372,52.546,90.4,2.096,1543.218,312898548
아주캐피탈,A2,537,59209513000,0,0,0,4372151200,0,4.90202E+12,0,0,4.19579E+12,2.87729E+11,5000,2.87729E+11,57545890,20355414000,4.03066E+11,7.06226E+11,4.90202E+12,5.22199E+11,0,71945296200,95409936600,1736336000,5964169200,90140302200,21532344400,68607957800,1198.6,3.80182E+11,24801544800,8.96,24801544800,-2.72701E+11,68607957800,1.39281E+11,41327108800,1.47437E+11,14017427800,33189584600,47207013000,5.242,1.926,-0.958,46.18,46.226,46.116,14.05,1.874,12.872,9.796,31.33,23.844,17.208,13.094,18.266,14.456,593.262,0.11,146.134,973850310
에스케이렌터카,A2,276.6,22073086400,88782339800,42426488800,1.02019E+12,7617968200,1.08491E+12,1.1768E+12,5.89281E+11,3.36833E+11,9.26114E+11,9225754400,500,11073150000,22146300,91024674000,1.73926E+11,2.47578E+11,1.17369E+12,5.99017E+11,2.97211E+11,4.56184E+11,29704675600,13776882200,37081640800,6399916600,2307102600,4092814000,185.2,1.73446E+11,0,0,0,-31560122800,4092814000,17574720600,30539832200,5272167400,-8713234800,30813299400,22073086400,1.04,1.61,4.71,-20.46,-63.506,-18.02,-4.76,0.552,6.3,1.688,57.8,-6.29,1.084,0.692,4.972,21.096,374.068,0.51,2145.154,1639945846
에이치디씨현대산업개발,A2,0,1.34252E+12,3.83203E+12,1.21411E+11,3.95685E+11,6018671000,1.02003E+12,4.85206E+12,2.43992E+12,5.73487E+11,3.01341E+12,2.19691E+11,0,2.19691E+11,43938220,1.39257E+12,2.27146E+11,1.83865E+12,4.85206E+12,2.7936E+12,4.35705E+11,1.20516E+11,3.15189E+11,50994025000,44273860000,3.21909E+11,94183903000,2.27726E+11,5184,2.27146E+11,21964375000,10,21964375000,4.50334E+11,3.21909E+11,-1.74346E+11,4.01081E+11,28328804000,3.04316E+11,1.0382E+12,1.34252E+12,0,0,0,0,0,0,0,6.63,17.51,12.39,146.53,103.66,11.52,8.15,11.28,37.89,163.89,0.58,737.25,1579196000
엔에스쇼핑,A2,1580.4,27682616000,72327854200,5.82801E+11,1.20793E+11,23895338000,7.38608E+11,8.86542E+11,2.10205E+11,1.3264E+11,3.42844E+11,16881818000,500,16848000000,33696000,1473690400,4.6133E+11,4.68091E+11,8.10935E+11,4.70451E+11,2.90574E+11,3.55257E+11,84818452800,6454420400,15721286600,75551586200,20738668200,54812918600,1655,4.55043E+11,5623288000,34,5623288000,54771526600,54812918600,-36557168400,52954212600,-36365592400,-18151234200,45882160400,27682616000,0.862,10.076,2.436,-8.694,-15.788,-16.344,5.068,9.354,11.288,12.418,448.432,473.926,16.044,11.642,18.02,57.704,73.366,0.584,2737.272,1071947514
유진투자증권,A2,635.6,3.50848E+11,179532200,4.57404E+11,12345637200,28352288600,0,7.88839E+12,0,0,5.84086E+12,3.55435E+11,5000,5.37592E+11,96866418,0,1.90831E+11,7.37753E+11,6.57862E+12,6.9637E+11,0,1.48557E+11,70341257600,2462223800,2865058800,69938422600,16549209200,53389214000,551.6,1.89188E+11,5810349000,1.2,5810349000,1.45695E+11,53389214000,-1481478600,17511661400,28082513600,1.72296E+11,1.30707E+11,3.03824E+11,8.504,6.834,8.922,7.196,1.426,-1.146,1.592,1.104,9.814,7.53,13.006,33.104,10.126,7.754,10.188,11.222,792.864,0.11,37.286,986120288
지에스건설,A2,3901,1.70692E+12,7.59481E+12,2.2147E+12,7.77527E+11,42493039200,4.13344E+12,1.27114E+13,6.5605E+12,1.56216E+12,8.12266E+12,3.97179E+11,5000,3.81658E+11,76331573,7.142E+11,2.55762E+12,3.60559E+12,1.17283E+13,1.13963E+13,1.49573E+12,4.85238E+11,7.42906E+11,5.35682E+11,7.72846E+11,5.05742E+11,1.50577E+11,3.55165E+11,4739.2,83142458000,55674236000,14.4,55674236000,6.2416E+11,3.55165E+11,-1.37836E+11,1.17309E+12,-9.14813E+11,-4.28489E+11,2.13594E+12,1.70692E+12,-6.378,7.498,8.67,92.918,0,0,3.04,4.25,-0.24,9.958,133.82,158.43,4.288,3.012,6.422,31.002,227.64,0.938,858.35,1652054492
지에스글로벌,A2,325.2,34255029200,6.84984E+11,3.56631E+11,707366000,3618060400,3.82616E+11,1.11293E+12,5.69558E+11,1.26474E+11,6.96032E+11,1.72654E+11,5000,2.06334E+11,82533764,1.25592E+11,38236741200,3.71568E+11,1.0676E+12,3.30606E+12,98823984000,60969912200,35214725800,1.04883E+11,1.23365E+11,16732071800,5336602200,11395469600,138,34136120400,2062380000,1,2062380000,13140718400,11395469600,-7371671600,64064238600,-6728248600,-959201800,35214231000,34255029200,-0.582,2.116,27.926,19.414,94.428,69.578,0.42,1.558,2.93,3.094,8.112,6.55,0.492,0.34,1.056,34.864,187.522,3.078,80.424,13911696420
